frame,people_count,avg_speed,avg_speed_squared,crowd_density,avg_acceleration,moving_count,stationary_count
119,7,27.9043,2098.453,7.0,15.5857,5,2
120,8,10.8287,186.4323,8.0,-0.4775,7,1
121,9,9.0933,137.6804,9.0,-1.4267,7,2
122,11,5.49,89.2724,11.0,-1.5436,5,6
123,10,7.923,133.2046,10.0,2.137,7,3
124,9,4.8189,44.5507,9.0,-0.8689,6,3
125,13,8.2046,185.0158,13.0,2.1746,8,5
126,9,7.14,69.1124,9.0,3.0467,7,2
127,8,5.1487,34.3729,8.0,-1.2588,6,2
128,8,7.105,111.8415,8.0,-0.1312,6,2
129,8,7.08,76.1286,8.0,2.6025,6,2
130,7,38.8771,8600.2647,7.0,28.5786,5,2
131,6,4.265,22.6756,6.0,-40.9267,4,2
132,8,6.9025,118.3631,8.0,3.3088,6,2
133,7,8.2886,243.6811,7.0,1.26,4,3
134,5,4.148,27.5857,5.0,-6.29,3,2
135,3,0.8033,0.996,3.0,0.47,0,3
136,5,10.19,216.3971,5.0,1.934,3,2
137,7,5.9757,86.8395,7.0,-2.3371,4,3
138,6,4.2767,24.4979,6.0,0.975,4,2
139,6,3.7583,19.4857,6.0,0.6483,4,2
140,4,2.5575,14.9926,4.0,-0.2725,2,2
141,8,7.585,125.0191,8.0,4.9025,6,2
142,6,6.965,87.5106,6.0,2.3017,4,2
143,3,11.5167,134.3399,3.0,3.9733,3,0
144,4,14.6925,302.8474,4.0,2.9225,4,0
145,4,4.7175,33.7817,4.0,-7.825,3,1
146,6,10.99,177.6606,6.0,1.8867,5,1
147,6,11.8833,250.5202,6.0,1.945,5,1
148,5,9.314,127.6248,5.0,-0.024,3,2
149,5,6.11,68.2215,5.0,-0.23,3,2
150,3,3.8133,36.6645,3.0,-2.0867,1,2
151,5,8.476,144.224,5.0,4.722,4,1
152,4,3.1925,13.7349,4.0,-4.1475,2,2
153,5,6.094,92.5937,5.0,2.104,3,2
154,5,2.602,11.7984,5.0,-3.21,2,3
155,5,3.528,21.7883,5.0,1.764,3,2
156,8,16.0312,1235.6371,8.0,11.0738,5,3
157,6,3.0933,21.188,6.0,-0.3683,3,3
158,7,3.3557,23.5649,7.0,0.1886,3,4
159,7,3.0786,13.7113,7.0,-0.2771,4,3
160,6,1.8933,6.3253,6.0,-1.2267,2,4
161,5,2.734,19.7844,5.0,0.462,2,3
162,6,6.6133,137.3324,6.0,-11.9983,3,3
163,6,4.38,31.6533,6.0,1.9183,3,3
164,5,3.204,20.2049,5.0,-0.492,2,3
165,6,2.8883,23.9894,6.0,0.185,2,4
166,6,1.8283,4.6628,6.0,-1.0583,3,3
167,6,4.145,25.1761,6.0,2.6783,4,2
168,5,3.278,14.4104,5.0,-0.976,3,2
169,5,2.056,6.392,5.0,-1.222,2,3
170,5,5.354,40.3874,5.0,3.4,4,1
171,5,2.816,12.9933,5.0,-2.538,2,3
172,4,5.09,66.718,4.0,2.2775,2,2
173,3,3.83,25.6934,3.0,1.4967,1,2
174,3,3.0933,18.9995,3.0,-0.07,1,2
175,5,9.116,163.8001,5.0,6.436,4,1
176,4,3.04,13.0175,4.0,-4.315,3,1
177,6,4.7633,33.6904,6.0,0.7317,5,1
178,5,7.546,77.4355,5.0,2.396,4,1
179,5,4.09,22.5978,5.0,0.154,4,1
180,4,3.5975,16.013,4.0,-0.8075,3,1
181,4,19.225,659.4217,4.0,13.965,3,1
182,3,7.2533,66.9987,3.0,-3.8033,2,1
183,3,3.8,43.32,3.0,-0.47,1,2
184,1,13.6,184.96,1.0,13.6,1,0
186,1,28.64,820.2496,1.0,22.23,1,0
187,1,8.06,64.9636,1.0,-20.57,1,0
188,1,0.0,0.0,1.0,0.0,0,1
189,1,15.81,249.9561,1.0,7.75,1,0
190,1,0.0,0.0,1.0,0.0,0,1
191,2,0.0,0.0,2.0,0.0,0,2
192,3,7.5533,89.0145,3.0,7.5533,2,1
193,3,8.4833,129.2698,3.0,0.9333,2,1
194,1,5.0,25.0,1.0,5.0,1,0
195,1,3.61,13.0321,1.0,-1.39,1,0
196,1,3.61,13.0321,1.0,0.0,1,0
197,2,15.51,373.0402,2.0,10.17,2,0
198,3,4.0933,25.9995,3.0,-6.2467,2,1
199,3,2.5433,11.3566,3.0,-1.55,2,1
200,2,6.82,67.4888,2.0,5.7,2,0
201,3,4.67,44.3338,3.0,2.13,2,1
202,2,4.53,41.0418,2.0,4.53,1,1
203,1,9.85,97.0225,1.0,0.79,1,0
204,2,2.695,14.526,2.0,-2.23,1,1
205,1,13.6,184.96,1.0,8.22,1,0
206,1,11.05,122.1025,1.0,-2.56,1,0
207,4,2.0,16.0,4.0,-0.7625,1,3
208,5,12.376,298.3375,5.0,8.496,5,0
209,4,8.505,105.7258,4.0,2.855,3,1
210,5,13.052,346.5281,5.0,5.682,4,1
211,5,16.358,513.3477,5.0,10.804,5,0
212,9,4.0978,43.2306,9.0,-4.9922,5,4
213,8,8.4925,95.7655,8.0,3.8825,8,0
214,6,9.115,104.8616,6.0,0.2917,5,1
215,5,8.528,110.1708,5.0,-0.76,5,0
216,4,9.6125,98.987,4.0,-0.3425,4,0
217,7,7.8257,126.1709,7.0,2.3314,4,3
218,7,8.5386,119.7313,7.0,0.7114,5,2
219,5,10.578,173.8104,5.0,0.522,3,2
220,5,10.308,183.6061,5.0,-0.27,3,2
221,7,11.88,310.1063,7.0,3.34,5,2
222,7,10.7657,295.0737,7.0,6.7386,4,3
223,5,8.292,92.2114,5.0,3.164,4,1
224,4,7.2025,83.4941,4.0,-1.36,3,1
225,5,18.844,911.1683,5.0,10.484,3,2
226,1,19.92,396.8064,1.0,-43.64,1,0
227,2,26.52,755.2945,2.0,5.965,2,0
228,2,9.015,162.5405,2.0,-0.645,1,1
229,2,1.12,2.5088,2.0,1.12,1,1
230,4,2.6775,10.7605,4.0,1.6175,2,2
231,3,3.22,14.3326,3.0,0.8533,2,1
232,3,3.3367,25.316,3.0,1.06,1,2
233,3,7.5667,72.6924,3.0,4.2267,3,0
234,3,13.0467,197.0306,3.0,5.87,3,0
235,3,3.1467,15.6737,3.0,-5.7767,2,1
236,4,11.91,255.4965,4.0,6.46,3,1
237,3,8.7967,100.3675,3.0,-4.3367,3,0
238,2,6.89,47.5045,2.0,1.475,2,0
239,2,14.3,310.58,2.0,2.985,2,0
240,1,3.16,9.9856,1.0,-0.84,1,0
241,3,11.47,296.6494,3.0,2.2167,2,1
242,4,7.1775,79.5073,4.0,-1.425,3,1
243,3,7.6933,67.3027,3.0,2.3933,3,0
244,3,9.2267,107.696,3.0,1.53,3,0
245,3,19.0767,726.6537,3.0,12.7967,3,0
246,3,15.2367,463.9982,3.0,6.3133,3,0
247,3,9.6333,138.0238,3.0,-5.6033,3,0
248,3,9.0267,118.6782,3.0,-0.6067,3,0
249,3,8.8167,102.9646,3.0,-0.2067,3,0
250,3,8.71,97.693,3.0,-0.1067,3,0
251,1,13.6,184.96,1.0,-1.7,1,0
252,4,6.65,100.013,4.0,1.79,2,2
253,2,14.44,208.528,2.0,5.385,2,0
254,1,13.93,194.0449,1.0,-0.63,1,0
255,4,4.19,70.2244,4.0,0.7075,1,3
256,3,8.5033,83.3639,3.0,2.9133,3,0
257,2,10.03,100.9609,2.0,3.36,2,0
258,2,4.245,36.0401,2.0,-1.07,1,1
259,2,6.575,86.4613,2.0,1.86,1,1
260,3,4.4833,31.3386,3.0,0.0967,2,1
261,4,21.8575,1345.9027,4.0,16.8025,3,1
262,3,8.3033,85.6521,3.0,3.3367,3,0
263,2,9.495,109.4711,2.0,-1.545,2,0
264,2,3.2,20.48,2.0,0.65,1,1
265,2,3.535,24.9925,2.0,0.335,1,1
266,2,6.835,53.4513,2.0,3.3,2,0
267,2,2.915,16.9945,2.0,0.795,1,1
268,3,4.4867,40.3353,3.0,2.5433,2,1
269,3,0.6667,1.3333,3.0,0.6667,0,3
270,3,2.2767,11.663,3.0,1.61,1,2
271,6,3.0783,25.6785,6.0,1.94,2,4
272,4,2.35,12.49,4.0,2.35,2,2
273,2,6.98,55.0205,2.0,5.48,2,0
274,3,3.44,19.3521,3.0,-1.2167,2,1
275,5,8.124,149.4418,5.0,4.778,3,2
276,6,5.5767,46.8378,6.0,-1.1933,5,1
277,6,5.715,45.9846,6.0,0.7383,5,1
278,5,8.552,92.9753,5.0,3.032,5,0
279,4,7.32,106.5424,4.0,0.8825,3,1
280,4,7.3975,86.2413,4.0,1.425,3,1
281,4,10.3425,136.7155,4.0,3.3675,4,0
282,7,9.6457,236.7956,7.0,2.5843,4,3
283,6,8.6017,100.6505,6.0,3.2,6,0
284,7,8.17,142.8343,7.0,0.7957,6,1
285,6,8.7033,146.4603,6.0,0.7583,5,1
286,5,16.058,393.899,5.0,6.634,5,0
287,4,11.6825,173.9491,4.0,-4.035,4,0
288,3,6.9167,49.9719,3.0,0.33,3,0
289,3,6.3467,41.3389,3.0,-0.5733,3,0
290,6,25.1683,2979.1524,6.0,20.4583,4,2
291,4,4.68,22.9877,4.0,0.2525,4,0
292,4,3.85,23.9978,4.0,1.8875,3,1
293,5,32.242,3719.1627,5.0,25.94,5,0
294,5,3.714,19.7904,5.0,-1.386,4,1
295,5,6.264,50.0348,5.0,2.546,5,0
296,5,4.932,38.1911,5.0,-0.128,4,1
297,5,9.378,105.4077,5.0,4.444,5,0
298,4,4.805,27.2373,4.0,-5.46,4,0
299,5,4.516,39.8068,5.0,1.272,3,2
300,5,8.492,82.6032,5.0,3.976,5,0
301,6,18.4733,818.7942,6.0,12.9583,6,0
302,4,4.2725,25.7613,4.0,-1.7975,3,1
303,4,5.055,27.7652,4.0,0.7825,4,0
304,4,3.4525,16.7432,4.0,-0.3525,3,1
305,6,9.1533,285.8043,6.0,4.9883,4,2
306,8,24.9237,1962.3249,8.0,16.635,7,1
307,6,6.2783,46.658,6.0,-5.6933,6,0
308,5,4.288,27.9917,5.0,-0.834,4,1
309,3,8.35,105.6267,3.0,3.4667,3,0
310,2,1.12,2.5088,2.0,-0.945,1,1
311,3,11.6433,242.0096,3.0,9.6167,2,1
312,6,9.9967,194.811,6.0,1.055,4,2
313,4,5.24,37.2344,4.0,1.21,3,1
314,5,11.248,164.3913,5.0,4.774,5,0
315,6,7.61,70.5005,6.0,-1.7633,5,1
316,4,9.5425,95.7154,4.0,2.2025,4,0
317,4,11.105,146.2717,4.0,1.8575,4,0
318,4,11.5725,183.7495,4.0,4.2375,3,1
319,6,10.0633,145.6639,6.0,0.3983,5,1
320,2,11.44,130.9412,2.0,-3.68,2,0
321,3,11.2467,128.0279,3.0,0.01,3,0
322,2,24.03,742.5634,2.0,10.37,2,0
323,1,13.34,177.9556,1.0,2.16,1,0
324,1,0.0,0.0,1.0,0.0,0,1
328,1,0.0,0.0,1.0,0.0,0,1
329,1,0.0,0.0,1.0,0.0,0,1
335,1,123.17,15170.8489,1.0,111.12,1,0
336,2,0.5,0.5,2.0,-61.085,0,2
337,1,10.0,100.0,1.0,10.0,1,0
338,2,5.41,58.5362,2.0,0.41,1,1
339,2,8.955,82.9977,2.0,3.545,2,0
340,2,9.275,103.4562,2.0,0.32,2,0
341,3,5.4667,46.9867,3.0,-0.7167,2,1
342,2,8.285,77.0222,2.0,0.08,2,0
343,4,4.3825,40.5241,4.0,0.24,2,2
344,4,8.3525,74.7727,4.0,3.97,4,0
345,3,9.99,108.635,3.0,1.09,3,0
346,4,7.62,84.225,4.0,1.85,3,1
347,4,9.305,210.2269,4.0,3.89,3,1
348,3,8.5167,87.3186,3.0,2.6533,3,0
349,3,8.3767,79.3326,3.0,0.9,3,0
350,2,6.77,48.9658,2.0,-1.05,2,0
351,2,4.12,16.9888,2.0,-2.65,2,0
352,2,6.645,44.4753,2.0,2.525,2,0
353,2,6.265,42.4723,2.0,-0.38,2,0
354,2,2.5,12.5,2.0,-1.53,1,1
355,2,4.05,17.505,2.0,1.55,2,0
356,2,14.21,284.9162,2.0,9.425,2,0
357,3,3.29,18.3366,3.0,-6.1833,2,1
358,2,4.14,26.9992,2.0,0.785,1,1
359,2,11.19,135.013,2.0,7.05,2,0
360,1,7.28,52.9984,1.0,-0.78,1,0
361,1,7.62,58.0644,1.0,0.34,1,0
362,1,5.39,29.0521,1.0,-2.23,1,0
363,3,5.05,42.3375,3.0,-1.52,2,1
365,1,3.0,9.0,1.0,-7.05,1,0
366,1,2.83,8.0089,1.0,-0.17,1,0
367,1,0.0,0.0,1.0,0.0,0,1
368,2,2.5,12.5,2.0,2.5,1,1
369,3,4.26,30.3031,3.0,2.5933,2,1
370,2,9.195,99.026,2.0,7.07,2,0
371,2,3.54,18.9832,2.0,-5.655,1,1
372,4,3.535,24.9925,4.0,1.765,2,2
373,4,3.1525,11.508,4.0,-0.3825,3,1
374,4,1.75,7.25,4.0,-0.5,1,3
375,3,6.37,40.9958,3.0,4.0367,3,0
376,3,3.7267,20.9921,3.0,-0.7,2,1
377,3,1.0533,3.3285,3.0,-0.9733,1,2
378,5,1.164,2.5952,5.0,0.532,1,4
379,4,2.2625,5.5022,4.0,0.8025,3,1
380,4,2.76,8.9886,4.0,0.8525,2,2
381,4,1.6,4.0008,4.0,-1.1625,2,2
382,5,7.248,141.6209,5.0,4.946,3,2
